step,p5,p25,p50,p75,p95
0,230.2708,230.2708,230.2708,230.2708,230.2708
1,227.5444141715024,229.192564649213,230.44514568352292,231.66534019609645,233.3891641853022
2,226.50455786293568,228.87415197301425,230.68818225980777,232.3025150985554,234.77605021127698
3,225.80070546394185,228.6651015167335,230.69761768688613,232.80174036774935,235.77337784693378
4,225.2112049599986,228.7108694331549,230.93621968537144,233.4502222975313,236.8274044331331
5,224.9451886380981,228.60392594010693,231.2617905230759,233.7586430876181,237.46605907828547
6,224.5211854521716,228.56363106607023,231.3311535045434,234.45435379680538,238.54453953377603
7,223.75334423062796,228.44130604751908,231.64599412108245,234.94065849489647,239.3340367366168
8,223.7423719054396,228.52296660272967,231.7203451508151,235.28465881129875,240.142253916473
9,223.30943007628395,228.50549186530782,231.87736730659458,235.49458428801117,241.08514038883277
10,222.95711857465133,228.5240655818659,232.05564719187635,235.82029137250495,242.0026862641605
11,222.98484995089407,228.5952930367825,232.39724411441534,236.1923492312733,242.39218716163356
12,223.25979925676296,228.64211825422447,232.430736829575,236.6755180742349,242.6890154857913
13,222.95700124280546,228.54825550815872,232.75759924025158,237.02999452967455,243.69968395074392
14,222.67850762743694,228.43693761533586,232.81996659174547,237.5557759321984,244.26231200707136
15,222.60862391838933,228.67356056689215,232.91821221522298,237.5938696396441,245.29880757669713
16,222.31534725856807,228.60665901759847,232.94465500282644,237.77833296820393,244.88799436947588
17,221.61343636019524,228.55858660239082,233.29265457054535,238.48195739923085,245.7612811503914
18,221.84103300340928,228.69432836624532,233.39453416522042,238.44229376824697,246.90767846028666
19,221.78660855845865,228.67010296053203,233.84433398325058,239.09033324289737,247.87017908134044
20,221.41453118251573,228.86980281916772,233.86769018923673,239.52346390965337,248.09843218180737
21,220.93314875371635,228.68378629887255,233.97446019077557,239.25960880694552,248.5404764435635
22,220.57444938024358,228.9531467949869,234.03272885026058,239.54274237012982,248.9304998815492
23,221.25447927906512,228.70623279192935,234.33918015485423,240.12097660180822,249.01897082515532
24,220.86038869673126,228.91025088169664,234.51906131977097,240.5099854272806,249.92405332695364
25,220.2143834897854,228.9074108505806,234.73743465703055,240.6867914471689,250.08340012504087
26,220.47533472135092,228.9120727550661,234.77417698575525,240.69543584197584,249.99082659461533
27,220.31671885321384,229.11233381786164,234.83183236173625,240.8292322082369,250.44994030722484
28,220.05720996903787,229.16000927672738,235.10313428599522,241.2284441820084,251.08875979071487
29,219.92403894004377,229.40700544336082,235.3976323399868,241.84955119786628,250.90869099657263
30,219.98716964669018,229.21438058309903,235.43114429440305,241.89496549785113,251.2408681163569
31,219.54271930256945,229.12528814912002,235.77269590837574,242.076291114296,251.54239959662732
32,219.88225689194311,228.92964724318233,235.85497638637258,242.0774274036709,252.43609290085223
33,219.4940320722875,229.01142083650842,236.01443457720353,242.62236596936597,252.3691586424411
